state_slug,state_name,abbreviation,col_multiplier,job_market,major_industries
alabama,Alabama,AL,0.87,Moderate,"Automotive, Aerospace, Agriculture"
alaska,Alaska,AK,1.32,Moderate,"Energy, Fishing, Tourism"
arizona,Arizona,AZ,0.99,Strong,"Technology, Healthcare, Tourism"
arkansas,Arkansas,AR,0.83,Moderate,"Agriculture, Retail, Manufacturing"
california,California,CA,1.42,Very Strong,"Technology, Entertainment, Agriculture"
colorado,Colorado,CO,1.1,Very Strong,"Technology, Aerospace, Tourism"
connecticut,Connecticut,CT,1.22,Strong,"Finance, Insurance, Manufacturing"
delaware,Delaware,DE,1.05,Strong,"Finance, Chemicals, Healthcare"
florida,Florida,FL,0.98,Strong,"Tourism, Healthcare, Real Estate"
georgia,Georgia,GA,0.93,Strong,"Logistics, Film, Technology"
hawaii,Hawaii,HI,1.55,Moderate,"Tourism, Military, Agriculture"
idaho,Idaho,ID,0.93,Strong,"Technology, Agriculture, Manufacturing"
illinois,Illinois,IL,1.05,Strong,"Finance, Manufacturing, Agriculture"
indiana,Indiana,IN,0.85,Moderate,"Manufacturing, Agriculture, Healthcare"
iowa,Iowa,IA,0.86,Moderate,"Agriculture, Manufacturing, Finance"
kansas,Kansas,KS,0.85,Moderate,"Agriculture, Aviation, Energy"
kentucky,Kentucky,KY,0.83,Moderate,"Manufacturing, Healthcare, Agriculture"
louisiana,Louisiana,LA,0.88,Moderate,"Energy, Tourism, Agriculture"
maine,Maine,ME,1.02,Moderate,"Healthcare, Tourism, Manufacturing"
maryland,Maryland,MD,1.15,Strong,"Government, Healthcare, Technology"
massachusetts,Massachusetts,MA,1.3,Very Strong,"Healthcare, Education, Technology"
michigan,Michigan,MI,0.9,Moderate,"Automotive, Healthcare, Technology"
minnesota,Minnesota,MN,1.0,Strong,"Healthcare, Finance, Manufacturing"
mississippi,Mississippi,MS,0.8,Low,"Agriculture, Manufacturing, Healthcare"
missouri,Missouri,MO,0.87,Moderate,"Healthcare, Finance, Agriculture"
montana,Montana,MT,0.95,Moderate,"Agriculture, Tourism, Energy"
nebraska,Nebraska,NE,0.88,Strong,"Agriculture, Finance, Manufacturing"
nevada,Nevada,NV,1.02,Strong,"Tourism, Gaming, Technology"
new-hampshire,New Hampshire,NH,1.14,Strong,"Healthcare, Finance, Manufacturing"
new-jersey,New Jersey,NJ,1.28,Strong,"Pharmaceuticals, Finance, Technology"
new-mexico,New Mexico,NM,0.88,Moderate,"Government, Energy, Tourism"
new-york,New York,NY,1.38,Very Strong,"Finance, Technology, Media"
north-carolina,North Carolina,NC,0.91,Strong,"Technology, Finance, Agriculture"
north-dakota,North Dakota,ND,0.92,Strong,"Energy, Agriculture, Manufacturing"
ohio,Ohio,OH,0.88,Moderate,"Manufacturing, Healthcare, Retail"
oklahoma,Oklahoma,OK,0.84,Moderate,"Energy, Agriculture, Aerospace"
oregon,Oregon,OR,1.12,Strong,"Technology, Manufacturing, Agriculture"
pennsylvania,Pennsylvania,PA,0.99,Strong,"Healthcare, Education, Finance"
rhode-island,Rhode Island,RI,1.15,Moderate,"Healthcare, Education, Manufacturing"
south-carolina,South Carolina,SC,0.88,Strong,"Automotive, Tourism, Manufacturing"
south-dakota,South Dakota,SD,0.87,Moderate,"Agriculture, Finance, Tourism"
tennessee,Tennessee,TN,0.88,Strong,"Healthcare, Manufacturing, Tourism"
texas,Texas,TX,0.95,Strong,"Energy, Technology, Healthcare"
utah,Utah,UT,1.0,Very Strong,"Technology, Tourism, Finance"
vermont,Vermont,VT,1.08,Moderate,"Healthcare, Tourism, Manufacturing"
virginia,Virginia,VA,1.1,Very Strong,"Government, Technology, Defense"
washington,Washington,WA,1.25,Very Strong,"Technology, Aerospace, Agriculture"
west-virginia,West Virginia,WV,0.78,Low,"Energy, Healthcare, Manufacturing"
wisconsin,Wisconsin,WI,0.92,Moderate,"Manufacturing, Healthcare, Agriculture"
wyoming,Wyoming,WY,0.93,Moderate,"Energy, Agriculture, Tourism"
district-of-columbia,District of Columbia,DC,1.52,Very Strong,"Government, Finance, Technology"
